Subject,Start Date,Start Time,End Date,End Time
必考词 1;必考词 2;必考词 3;必考词 4,2018-07-25,19:00,2018-07-25,23:30
必考词 1;必考词 2;必考词 3;必考词 4,2018-07-26,12:00,2018-07-26,17:30
必考词 5;必考词 6;必考词 7,2018-07-26,19:00,2018-07-26,23:30
必考词 1;必考词 2;必考词 3;必考词 4,2018-07-27,08:00,2018-07-27,12:00
必考词 5;必考词 6;必考词 7,2018-07-27,12:00,2018-07-27,17:30
必考词 8;必考词 9;必考词 10,2018-07-27,19:00,2018-07-27,23:30
必考词 5;必考词 6;必考词 7,2018-07-28,08:00,2018-07-28,12:00
必考词 1;必考词 2;必考词 3;必考词 4;必考词 8;必考词 9;必考词 10,2018-07-28,12:00,2018-07-28,17:30
必考词 11;必考词 12;必考词 13,2018-07-28,19:00,2018-07-28,23:30
必考词 8;必考词 9;必考词 10,2018-07-29,08:00,2018-07-29,12:00
必考词 5;必考词 6;必考词 7;必考词 11;必考词 12;必考词 13,2018-07-29,12:00,2018-07-29,17:30
必考词 14;必考词 15;必考词 16,2018-07-29,19:00,2018-07-29,23:30
必考词 11;必考词 12;必考词 13,2018-07-30,08:00,2018-07-30,12:00
必考词 8;必考词 9;必考词 10;必考词 14;必考词 15;必考词 16,2018-07-30,12:00,2018-07-30,17:30
必考词 17;必考词 18;必考词 19,2018-07-30,19:00,2018-07-30,23:30
必考词 1;必考词 2;必考词 3;必考词 4;必考词 14;必考词 15;必考词 16,2018-07-31,08:00,2018-07-31,12:00
必考词 11;必考词 12;必考词 13;必考词 17;必考词 18;必考词 19,2018-07-31,12:00,2018-07-31,17:30
必考词 20;必考词 21;必考词 22,2018-07-31,19:00,2018-07-31,23:30
必考词 5;必考词 6;必考词 7;必考词 17;必考词 18;必考词 19,2018-08-01,08:00,2018-08-01,12:00
必考词 14;必考词 15;必考词 16;必考词 20;必考词 21;必考词 22,2018-08-01,12:00,2018-08-01,17:30
必考词 23;必考词 24;必考词 25,2018-08-01,19:00,2018-08-01,23:30
必考词 8;必考词 9;必考词 10;必考词 20;必考词 21;必考词 22,2018-08-02,08:00,2018-08-02,12:00
必考词 17;必考词 18;必考词 19;必考词 23;必考词 24;必考词 25,2018-08-02,12:00,2018-08-02,17:30
必考词 26;基础词 1;基础词 2,2018-08-02,19:00,2018-08-02,23:30
必考词 11;必考词 12;必考词 13;必考词 23;必考词 24;必考词 25,2018-08-03,08:00,2018-08-03,12:00
必考词 20;必考词 21;必考词 22;必考词 26;基础词 1;基础词 2,2018-08-03,12:00,2018-08-03,17:30
基础词 3;基础词 4;基础词 5,2018-08-03,19:00,2018-08-03,23:30
必考词 1;必考词 2;必考词 3;必考词 4;必考词 14;必考词 15;必考词 16;必考词 26;基础词 1;基础词 2,2018-08-04,08:00,2018-08-04,12:00
必考词 23;必考词 24;必考词 25;基础词 3;基础词 4;基础词 5,2018-08-04,12:00,2018-08-04,17:30
基础词 6;基础词 7;基础词 8,2018-08-04,19:00,2018-08-04,23:30
必考词 5;必考词 6;必考词 7;必考词 17;必考词 18;必考词 19;基础词 3;基础词 4;基础词 5,2018-08-05,08:00,2018-08-05,12:00
必考词 26;基础词 1;基础词 2;基础词 6;基础词 7;基础词 8,2018-08-05,12:00,2018-08-05,17:30
基础词 9;基础词 10;基础词 11,2018-08-05,19:00,2018-08-05,23:30
必考词 8;必考词 9;必考词 10;必考词 20;必考词 21;必考词 22;基础词 6;基础词 7;基础词 8,2018-08-06,08:00,2018-08-06,12:00
基础词 3;基础词 4;基础词 5;基础词 9;基础词 10;基础词 11,2018-08-06,12:00,2018-08-06,17:30
基础词 12;基础词 13;基础词 14,2018-08-06,19:00,2018-08-06,23:30
必考词 11;必考词 12;必考词 13;必考词 23;必考词 24;必考词 25;基础词 9;基础词 10;基础词 11,2018-08-07,08:00,2018-08-07,12:00
基础词 6;基础词 7;基础词 8;基础词 12;基础词 13;基础词 14,2018-08-07,12:00,2018-08-07,17:30
基础词 15;基础词 16;基础词 17,2018-08-07,19:00,2018-08-07,23:30
必考词 14;必考词 15;必考词 16;必考词 26;基础词 1;基础词 2;基础词 12;基础词 13;基础词 14,2018-08-08,08:00,2018-08-08,12:00
基础词 9;基础词 10;基础词 11;基础词 15;基础词 16;基础词 17,2018-08-08,12:00,2018-08-08,17:30
基础词 18;基础词 19;基础词 20,2018-08-08,19:00,2018-08-08,23:30
必考词 17;必考词 18;必考词 19;基础词 3;基础词 4;基础词 5;基础词 15;基础词 16;基础词 17,2018-08-09,08:00,2018-08-09,12:00
基础词 12;基础词 13;基础词 14;基础词 18;基础词 19;基础词 20,2018-08-09,12:00,2018-08-09,17:30
基础词 21;基础词 22;基础词 23,2018-08-09,19:00,2018-08-09,23:30
必考词 20;必考词 21;必考词 22;基础词 6;基础词 7;基础词 8;基础词 18;基础词 19;基础词 20,2018-08-10,08:00,2018-08-10,12:00
基础词 15;基础词 16;基础词 17;基础词 21;基础词 22;基础词 23,2018-08-10,12:00,2018-08-10,17:30
基础词 24;基础词 25;基础词 26,2018-08-10,19:00,2018-08-10,23:30
必考词 23;必考词 24;必考词 25;基础词 9;基础词 10;基础词 11;基础词 21;基础词 22;基础词 23,2018-08-11,08:00,2018-08-11,12:00
基础词 18;基础词 19;基础词 20;基础词 24;基础词 25;基础词 26,2018-08-11,12:00,2018-08-11,17:30
基础词 27;基础词 28;基础词 29,2018-08-11,19:00,2018-08-11,23:30
必考词 26;基础词 1;基础词 2;基础词 12;基础词 13;基础词 14;基础词 24;基础词 25;基础词 26,2018-08-12,08:00,2018-08-12,12:00
基础词 21;基础词 22;基础词 23;基础词 27;基础词 28;基础词 29,2018-08-12,12:00,2018-08-12,17:30
基础词 30,2018-08-12,19:00,2018-08-12,23:30
基础词 3;基础词 4;基础词 5;基础词 15;基础词 16;基础词 17;基础词 27;基础词 28;基础词 29,2018-08-13,08:00,2018-08-13,12:00
基础词 24;基础词 25;基础词 26;基础词 30,2018-08-13,12:00,2018-08-13,17:30
基础词 6;基础词 7;基础词 8;基础词 18;基础词 19;基础词 20;基础词 30,2018-08-14,08:00,2018-08-14,12:00
基础词 27;基础词 28;基础词 29,2018-08-14,12:00,2018-08-14,17:30
必考词 1;必考词 2;必考词 3;必考词 4,2018-08-14,19:00,2018-08-14,23:30
基础词 9;基础词 10;基础词 11;基础词 21;基础词 22;基础词 23,2018-08-15,08:00,2018-08-15,12:00
基础词 30,2018-08-15,12:00,2018-08-15,17:30
必考词 5;必考词 6;必考词 7,2018-08-15,19:00,2018-08-15,23:30
基础词 12;基础词 13;基础词 14;基础词 24;基础词 25;基础词 26,2018-08-16,08:00,2018-08-16,12:00
必考词 8;必考词 9;必考词 10,2018-08-16,19:00,2018-08-16,23:30
基础词 15;基础词 16;基础词 17;基础词 27;基础词 28;基础词 29,2018-08-17,08:00,2018-08-17,12:00
必考词 11;必考词 12;必考词 13,2018-08-17,19:00,2018-08-17,23:30
基础词 18;基础词 19;基础词 20;基础词 30,2018-08-18,08:00,2018-08-18,12:00
必考词 14;必考词 15;必考词 16,2018-08-18,19:00,2018-08-18,23:30
基础词 21;基础词 22;基础词 23,2018-08-19,08:00,2018-08-19,12:00
必考词 17;必考词 18;必考词 19,2018-08-19,19:00,2018-08-19,23:30
基础词 24;基础词 25;基础词 26,2018-08-20,08:00,2018-08-20,12:00
必考词 20;必考词 21;必考词 22,2018-08-20,19:00,2018-08-20,23:30
基础词 27;基础词 28;基础词 29,2018-08-21,08:00,2018-08-21,12:00
必考词 23;必考词 24;必考词 25,2018-08-21,19:00,2018-08-21,23:30
基础词 30,2018-08-22,08:00,2018-08-22,12:00
必考词 26;基础词 1;基础词 2,2018-08-22,19:00,2018-08-22,23:30
基础词 3;基础词 4;基础词 5,2018-08-23,19:00,2018-08-23,23:30
基础词 6;基础词 7;基础词 8,2018-08-24,19:00,2018-08-24,23:30
基础词 9;基础词 10;基础词 11,2018-08-25,19:00,2018-08-25,23:30
基础词 12;基础词 13;基础词 14,2018-08-26,19:00,2018-08-26,23:30
基础词 15;基础词 16;基础词 17,2018-08-27,19:00,2018-08-27,23:30
基础词 18;基础词 19;基础词 20,2018-08-28,19:00,2018-08-28,23:30
基础词 21;基础词 22;基础词 23,2018-08-29,19:00,2018-08-29,23:30
基础词 24;基础词 25;基础词 26,2018-08-30,19:00,2018-08-30,23:30
基础词 27;基础词 28;基础词 29,2018-08-31,19:00,2018-08-31,23:30
基础词 30,2018-09-01,19:00,2018-09-01,23:30
